SMILES	ID
COc1ccccc1N1CCN(CCC(O)c2ccc3ccccc3c2)CC1	RBIF-0621
FC(F)(F)c1cccc(SC2CCc3ccccc3C2)c1	RBIF-1947
C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2	RBIF-0957
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	RBIF-2914
FC(F)(F)c1cccc(OCC2Cc3ccccc3C2)c1	RBIF-0949
COc1ccccc1N1CCN(CCC(Oc2ccc3c(c2)OCO3)c2ccccc2)CC1	RBIF-3241
O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1	RBIF-4803
CC[NH+](C)CCSC(c1ccccc1)c1ccc(Cl)cc1	RBIF-3486
OC(CCN1CCN(c2ccccc2Cl)CC1)c1ccsc1	RBIF-3438
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O	RBIF-1318
Fc1ccccc1OCc1ccc(C(F)(F)F)cc1	RBIF-0804
FC(F)(F)c1ccc(COc2ccccc2Br)cc1	RBIF-1968
FC(F)(F)c1cccc(OCC2CCc3ccccc3C2)c1	RBIF-3473
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C	RBIF-0391
FC(F)(F)c1cc(Cl)ccc1OCc1ccccc1	RBIF-2762
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	RBIF-0858
N#Cc1cc(C[NH+]2CCSCC2c2cccc(C(F)(F)F)c2)ccc1F	RBIF-2990
CC1c2ccccc2CCN1c1ccnc(C(F)(F)F)c1	RBIF-1274
COc1ccc(C(O)CCN2CCN(c3ccccc3OC)CC2)cc1	RBIF-3267
FC(F)(F)c1ccccc1OCc1cccc(Cl)c1	RBIF-3398
CN(c1ccc(C(F)(F)F)cn1)C1CCc2ccccc21	RBIF-3383
COc1ccccc1N1CCN(CCC(=O)c2ccc([N+](=O)[O-])s2)CC1	RBIF-3612
FC(F)(F)c1cccc(SC2CCCc3ccc(Br)cc32)c1	RBIF-3116
[2H]c1c([2H])c([2H])c(C([2H])(CCNC)Oc2ccc(C(F)(F)F)cc2)c([2H])c1[2H]	RBIF-0772
FC(F)(F)c1ccccc1N1CCOc2ccc(Br)cc2C1	RBIF-0566
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C	RBIF-0298
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	RBIF-3447
FC(F)(F)c1cccc(OCCN2CCCc3ccccc32)c1	RBIF-3026
CC(=O)N[C@@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)cc(O)cc3[C@@H](C(=O)O)NC2=O)O[C@@H](CO)[C@@H](O)[C@@H]1O	RBIF-2646
[NH3+]C1Cc2ccccc2N(Cc2ccc(Br)c(F)c2)C1	RBIF-1366
Cn1nc(C(F)(F)F)cc1-c1cnc(N2CCc3cc(S(=O)(=O)Nc4c(F)cc(Cl)cc4F)cc(N4CCCC4=O)c32)nc1	RBIF-3583
Oc1ccccc1N1CCN(CCC(O)c2ccc3ccccc3c2)CC1	RBIF-3544
Fc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1	RBIF-2037
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	RBIF-2384
FC(F)(F)c1ccc(OC(CCN2CCN(c3ncccn3)CC2)c2ccccc2)cc1	RBIF-3628
FC(F)(F)c1ccc(CSc2ccccc2)cc1	RBIF-2475
CN(c1ccc(C(F)(F)F)nc1)C1CCc2ccccc21	RBIF-0094
CO[C@H]1C[C@@H](O[C@H]2C[C@H]([C@H]3O[C@](C)(O)[C@H](C)C[C@@H]3C)O[C@H]2[C@]2(C)CC[C@H]([C@]3(C)CC[C@]4(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H]5O[C@](O)(CC(=O)O)[C@@H](C)[C@H](OC)[C@H]5OC)O4)O3)O2)O[C@@H](C)[C@@H]1OC	RBIF-4837
FC(F)(F)Oc1ccccc1OCC1Cc2ccccc2C1	RBIF-3818
OC(CCN1CCN(c2ccc3ncccc3c2)CC1)c1csc2ccccc12	RBIF-3163
[NH3+]C1Cc2ccccc2N(Cc2ccc(Br)c(Br)c2)C1	RBIF-3770
FC(F)(F)c1cccc(COc2ccccc2)c1	RBIF-4672
CC1Cc2ccccc2N1Cc1ccc(Cl)cc1Br	RBIF-4300
Fc1ccc2c(c1)C(Oc1cccc(C(F)(F)F)c1)CCC2	RBIF-2074
[NH3+]C1Cc2ccccc2N(Cc2cc(C(F)(F)F)ccc2F)C1	RBIF-4935
OC(CCN1CCN(c2cccc3ccccc23)CC1)c1csc2ccccc12	RBIF-0435
FC(F)(F)c1cc(I)cc(OCCN2CCc3ccccc32)c1	RBIF-2395
Cc1cc(C(F)(F)F)ccc1OCC1Cc2ccccc2C1	RBIF-2349
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C	RBIF-1468
Fc1ccccc1COc1cccc(C(F)(F)F)c1	RBIF-3114
CN(c1cccc(C(F)(F)F)n1)C1CCc2ccccc21	RBIF-4594
Fc1ccc(COc2ccccc2)cc1C(F)(F)F	RBIF-3008
OC(CCN1CCN(c2cccc3c2OCCCO3)CC1)c1csc2ccccc12	RBIF-0196
Fc1cccc(COc2ccccc2C(F)(F)F)c1	RBIF-4831
CN(c1cc(C(F)(F)F)ccn1)C1CCc2ccccc21	RBIF-0534
C[C@H](c1ccnc(Nc2nc3ccc(-c4cc(N(C)C)ncn4)cc3[nH]2)c1)N1CCN(C(=O)CC(F)(F)F)CC1	RBIF-4210
CCCOc1ccc([C@H]2[C@H](C(=O)O)[C@@H](c3ccc4c(c3)OCO4)CN2CC(=O)Nc2c(CC)cccc2CC)cc1	RBIF-0625
[NH3+]C1Cc2ccccc2N(Cc2ccc(F)cc2Br)C1	RBIF-3516
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2	RBIF-4448
FC(F)(F)c1cccc(OCc2cccc(Br)c2)c1	RBIF-2733
Cc1cc(C(=O)CCN2CCN(c3cccc4ccccc34)CC2)c(C)s1	RBIF-4175
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12	RBIF-1771
Cc1ccc2cccc(N3CCN(CCC(O)c4csc5ccccc45)CC3)c2n1	RBIF-3969
Clc1ccc(N2CCN(CCC(Oc3ccc4c(c3)OCO4)c3ccccc3)CC2)cc1	RBIF-1140
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	RBIF-3677
Fc1cccc2c1CN(c1ccccc1C(F)(F)F)CCO2	RBIF-1642
C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2	RBIF-1362
COc1ccccc1N1CCN(CCC(O)c2cccs2)CC1	RBIF-3661
Fc1ccc(C(F)(F)F)cc1CN1CCCc2ccccc21	RBIF-3148
CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2	RBIF-3466
FC(F)(F)c1ccc(OCC2Cc3ccccc3C2)c(Cl)c1	RBIF-3861
Cc1cc(Nc2ncc(C#N)c(Nc3cn(C)nc3S(=O)(=O)C(C)C)n2)c(OC2CC2)cc1C1CCN(C)CC1	RBIF-2219
FC(F)(F)c1cc(OCCN2CCc3ccccc32)ccc1Br	RBIF-2590
COc1ccccc1N1CCN(CCC(=O)c2cccs2)CC1	RBIF-1374
FC(F)(F)c1ccccc1OCc1ccccc1Cl	RBIF-4916
FC(F)(F)c1cccc(OCC#Cc2ccccc2)c1	RBIF-4713
FC(F)(F)c1cccc(OCCN2CCc3ccccc32)c1	RBIF-2500
FC(F)(F)c1ccccc1OCC1CCc2ccccc2C1	RBIF-0159
FC(F)(F)c1ccccc1OCc1ccccc1	RBIF-1669
COc1ccccc1N1CCN(CCC(=O)c2ccc3ccccc3c2)CC1	RBIF-2292
OC(CCN1CCN(c2cccc3c2OCCCO3)CC1)c1csc2ccc(F)cc12	RBIF-4858
FC(F)(F)c1ccc(Br)cc1OCCN1CCc2ccccc21	RBIF-0131
Cc1ccc2cccc(N3CCN(CCC(O)c4csc5ccc(F)cc45)CC3)c2n1	RBIF-2055
CC1c2ccccc2CCN1c1cc(C(F)(F)F)ccn1	RBIF-4615
N#Cc1cc(F)cc(C[NH+]2CCOCCC2c2ccc(F)cc2)c1	RBIF-2290
COc1cc(F)ccc1N1CCN(CCC(=O)c2csc3ccccc23)CC1	RBIF-0904
CCOc1ccc(CN2CC[N@H+](Cc3cccc(OC)c3O)C[C@@H]2CCO)cc1	RBIF-2316
Fc1ccc(OCCN2CCc3ccccc32)cc1C(F)(F)F	RBIF-3129
Fc1ccc(OCc2ccccc2C(F)(F)F)cc1	RBIF-0219
[NH3+]C1Cc2ccccc2N(Cc2cc(F)ccc2C(F)(F)F)C1	RBIF-1714
COc1ccccc1N1CCN(CCC(O)c2cc(C)sc2C)CC1	RBIF-2117
FC(F)(F)c1cccc(OCc2ccc(Cl)cc2)c1	RBIF-1417
FC(F)(F)c1ccc(OCCC2CCc3ccccc32)cc1	RBIF-3681
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O	RBIF-2641
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	RBIF-1933
Clc1ccc(CN2CCCc3ccccc32)cc1Br	RBIF-2520
FC(F)(F)c1ccc(COc2ccc(Cl)cc2)cc1	RBIF-2092
C#Cc1cccc(COc2ccc(C(F)(F)F)cc2)c1	RBIF-1823
FC(F)(F)c1ccc(OCCN2CCc3ccccc32)c(Cl)c1	RBIF-1062
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	RBIF-4526
COc1ccccc1N1CCN(CCC(O)c2csc(C)c2)CC1	RBIF-0171
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	RBIF-2830
OC(CCN1CCN(c2cnc3ccccc3c2)CC1)c1csc2ccccc12	RBIF-3341
